keywordId,onepv_uvc,mt_uvc,mt_pvc,uvc,pvc,sum(sr.impression),sum(sr.click),sum(sr.uv),sum(sr.pv),sum(sr.vppv),sum(sr.cost),avg(sr.position),terminal,subcategory,keyword,sc
47664995775,1.0,,,1,1,26,1,1,1,0,0.3,1.0,2.0,1.0,建科大楼,1
47664995778,4.0,1.0,2.0,5,6,99,5,5,6,0,39.32,1.077272727,2.0,1.0,中顺商务大厦,5
47664995781,2.0,,,2,2,36,2,2,2,0,20.84,1.164,2.0,1.0,华美大厦,2
47664995784,,1.0,3.0,1,3,3,1,1,3,2,3.98,1.333333333,2.0,1.0,兰花大厦,1
47664995796,3.0,,,3,3,80,3,3,3,0,30.35,1.039615385,2.0,1.0,望成大厦,3
47664995802,5.0,3.0,6.0,8,11,92,9,8,11,8,84.12,1.0832,2.0,1.0,深燃大厦,9
47664995814,4.0,1.0,2.0,5,6,26,6,5,6,6,24.96,1.0,2.0,1.0,宗泰未来城,6
47664995823,10.0,3.0,19.0,13,29,249,13,13,29,19,102.78,1.006666667,2.0,1.0,亿利达大厦,13
47664995826,,1.0,2.0,1,2,4,3,1,2,0,37.69,1.0,2.0,1.0,科技园工业大厦,3
47664995832,3.0,,,3,3,40,3,3,3,0,30.13,1.205882353,2.0,1.0,中心路大厦,3
47664995847,9.0,2.0,4.0,11,13,253,11,11,13,13,112.97,1.27,2.0,1.0,星河世纪大厦,11
47664995850,3.0,,,3,3,150,3,3,3,2,42.09,1.265333333,2.0,1.0,中国凤凰大厦,3
47664995859,1.0,,,1,1,73,3,1,1,0,43.55,1.183809524,2.0,1.0,国际商会中心,3
47664995865,2.0,1.0,2.0,3,4,16,3,3,4,3,34.3,1.0,2.0,1.0,三联珠宝大厦,3
47664995877,1.0,,,1,1,22,1,1,1,0,9.44,1.120909091,2.0,1.0,华胜商业大厦,1
47664995880,3.0,,,3,3,214,3,3,3,0,38.54,1.094090909,2.0,1.0,南山劳动大厦,3
47664995883,3.0,1.0,3.0,4,6,91,4,4,6,5,45.07,1.0,2.0,1.0,环球数码大厦,4
47664995886,4.0,6.0,20.0,10,24,77,12,10,24,8,126.14,1.072608696,2.0,1.0,航天科技大厦,12
47664995889,1.0,1.0,3.0,2,4,90,3,2,4,3,35.2,1.0336,2.0,1.0,世纪豪庭大厦,3
47664995892,1.0,,,1,1,4,1,1,1,0,12.53,1.0,2.0,1.0,华海商务大厦,1
47664995901,1.0,3.0,11.0,4,12,105,5,4,12,9,60.33,1.13375,2.0,1.0,东方科技大厦,5
47664995910,4.0,1.0,2.0,5,6,85,5,5,6,6,34.7,1.0,2.0,1.0,中洲控股中心,5
47664995913,2.0,,,2,2,23,2,2,2,0,23.01,1.111111111,2.0,1.0,地铁科技大厦,2
47664995925,9.0,1.0,2.0,10,11,111,10,11,14,1,84.48,1.053928571,2.0,1.0,荣超滨海大厦,10
47664995928,18.0,3.0,12.0,21,30,764,24,21,30,30,290.31,1.022258065,2.0,1.0,卓越世纪中心,24
47664995931,3.0,,,3,3,55,2,3,3,3,22.07,1.051428571,2.0,1.0,万骏经贸大厦,2
47664995934,8.0,7.0,17.0,15,25,107,11,16,36,27,129.22,1.089130435,2.0,1.0,航盛科技大厦,11
